trainLoss,Acc,valLoss,Acc
0.6173,0.6838,0.5171,0.6786
0.5668,0.6752,0.4706,0.8214
0.5674,0.7094,0.4518,0.9286
0.5256,0.8205,0.411,0.8929
0.509,0.7863,0.3953,0.9286
0.4819,0.7778,0.4031,0.9286
0.4478,0.8291,0.3655,0.9286
0.4452,0.8376,0.364,0.9286
0.4457,0.812,0.3502,0.9286
0.4626,0.8205,0.339,0.9286
0.4435,0.8291,0.338,0.9286
0.4322,0.8291,0.3271,0.9286
0.4456,0.7863,0.3219,0.9286
0.4102,0.8462,0.3178,0.9286
0.4357,0.8291,0.3138,0.9286
0.4209,0.8462,0.3066,0.9286
0.3987,0.8462,0.3026,0.9286
0.4136,0.8547,0.2986,0.9286
0.3985,0.8376,0.294,0.9286
0.3931,0.8547,0.2905,0.9286
0.379,0.8718,0.289,0.9286
0.4119,0.8547,0.3061,0.8929
0.416,0.8291,0.2878,0.9643
0.4021,0.8462,0.2803,0.9286
0.4108,0.812,0.2788,0.9643
0.3997,0.8462,0.2778,0.9286
0.4126,0.8205,0.2784,0.9643
0.4223,0.8205,0.2804,0.9643
0.3656,0.8376,0.275,0.9643
0.3923,0.8291,0.2728,0.9643
0.3979,0.8376,0.2725,0.9643
0.344,0.8205,0.2753,0.9643
0.3565,0.8632,0.269,0.9643
0.3441,0.8803,0.274,0.9643
0.3639,0.8462,0.2666,0.9643
0.3428,0.8718,0.2625,0.9286
0.3473,0.8718,0.2626,0.9643
0.4027,0.8291,0.2637,0.9643
0.3346,0.8632,0.271,0.9286
0.3664,0.8547,0.259,0.9286
0.3891,0.8291,0.2556,0.9643
0.3133,0.8803,0.2553,0.9643
0.345,0.8205,0.256,0.9643
0.3152,0.8718,0.2538,0.9643
0.3289,0.8718,0.2531,0.9643
0.2986,0.8889,0.2508,0.9643
0.3345,0.8462,0.2513,0.9643
0.3376,0.8376,0.2491,0.9643
0.3841,0.8205,0.2496,0.9643
0.3446,0.8547,0.2492,0.9643
0.2986,0.8889,0.2514,0.9643
0.316,0.8718,0.2516,0.9643
0.3564,0.8462,0.2497,0.9643
0.3151,0.8889,0.2465,0.9643
0.342,0.8547,0.2505,0.9643
0.3665,0.8376,0.2461,0.9643
0.3245,0.8632,0.2462,0.9643
0.3428,0.8462,0.2443,0.9643
0.3507,0.8632,0.2414,0.9643
0.3881,0.8034,0.243,0.9643
0.3013,0.8718,0.2416,0.9643
0.3938,0.8547,0.2419,0.9643
0.3245,0.8718,0.2396,0.9643
0.3788,0.8632,0.2396,0.9643
0.3575,0.8974,0.2391,0.9643
0.3171,0.8718,0.2392,0.9643
0.3614,0.8462,0.2517,0.9286
0.3357,0.8462,0.2367,0.9643
0.3419,0.8803,0.2404,0.9643
0.394,0.8034,0.2498,0.9286
0.2942,0.8803,0.2387,0.9643
0.3463,0.8547,0.2513,0.9286
0.2781,0.8889,0.237,0.9643
0.3072,0.8718,0.2324,0.9643
0.3429,0.8547,0.2315,0.9643
0.2791,0.906,0.2315,0.9643
0.3801,0.8291,0.2339,0.9643
0.3235,0.8462,0.2384,0.9643
0.306,0.8974,0.2319,0.9643
0.328,0.8547,0.2293,0.9643
0.3129,0.8803,0.2313,0.9643
0.3209,0.8718,0.2325,0.9643
0.3503,0.8376,0.2308,0.9643
0.3507,0.8462,0.2325,0.9643
0.2811,0.8974,0.2374,0.9643
0.3328,0.8291,0.2401,0.9643
0.3251,0.8547,0.2295,0.9643
0.3221,0.8718,0.233,0.9643
0.3488,0.8462,0.2253,0.9643
0.3379,0.8632,0.2276,0.9643
0.3061,0.8632,0.2255,0.9643
0.3552,0.8291,0.2291,0.9643
0.3171,0.8718,0.2261,0.9643
0.2887,0.8803,0.227,0.9643
0.3021,0.8718,0.2303,0.9643
0.2846,0.906,0.2266,0.9643
0.3108,0.8974,0.224,0.9643
0.292,0.8889,0.2259,0.9643
0.2967,0.8718,0.2303,0.9643
0.3186,0.8547,0.2243,0.9643
0.317978947,0.865947368,0.229357895,0.9643
