trainLoss,Acc,valLoss,Acc
0.6967,0.5128,0.65,0.6786
0.6164,0.6752,0.6108,0.75
0.6033,0.6752,0.6142,0.75
0.6059,0.6838,0.5899,0.75
0.5844,0.6838,0.5931,0.6786
0.5565,0.7179,0.5693,0.75
0.5652,0.7436,0.5475,0.75
0.5482,0.7521,0.5601,0.6786
0.5143,0.7436,0.5685,0.6786
0.5292,0.7521,0.5888,0.6786
0.5137,0.812,0.5453,0.75
0.4926,0.7949,0.5581,0.7143
0.4927,0.7607,0.5417,0.7143
0.4913,0.7778,0.5159,0.75
0.4884,0.7863,0.4938,0.75
0.4498,0.8205,0.5081,0.75
0.4576,0.8462,0.4865,0.7143
0.4521,0.7863,0.4804,0.75
0.4547,0.8462,0.5223,0.75
0.4738,0.7863,0.4836,0.75
0.4621,0.812,0.4661,0.8214
0.4333,0.8376,0.5007,0.8929
0.4347,0.8376,0.4321,0.7857
0.4233,0.8632,0.4794,0.75
0.4188,0.8376,0.498,0.7857
0.442,0.8547,0.4242,0.8214
0.4152,0.8803,0.481,0.8571
0.3946,0.8376,0.4246,0.8571
0.3972,0.8632,0.4373,0.8214
0.3864,0.8632,0.3945,0.8571
0.3878,0.8889,0.4717,0.8214
0.401,0.8547,0.4182,0.8929
0.3821,0.8462,0.4005,0.8929
0.375,0.8632,0.3632,0.8571
0.3467,0.8889,0.408,0.8214
0.3671,0.8291,0.4216,0.8929
0.3447,0.8632,0.4145,0.8929
0.3538,0.8632,0.3747,0.7857
0.3759,0.8632,0.3583,0.8214
0.3501,0.8718,0.3734,0.8214
0.3732,0.8547,0.3276,0.8929
0.3541,0.8547,0.3572,0.8929
0.3215,0.8803,0.3715,0.9286
0.3344,0.8889,0.3888,0.8929
0.3416,0.8803,0.3425,0.8571
0.3369,0.8718,0.3189,0.8571
0.3159,0.8889,0.3753,0.8571
0.3152,0.8974,0.3168,0.8929
0.3124,0.8889,0.3228,0.9286
0.314,0.906,0.3792,0.8571
0.2952,0.906,0.3713,0.9286
0.3271,0.8718,0.3134,0.9286
0.3116,0.9145,0.3684,0.9286
0.3226,0.8547,0.3734,0.9286
0.3061,0.8974,0.3268,0.9286
0.2832,0.8889,0.3445,0.8929
0.2723,0.9316,0.3498,0.8214
0.2686,0.9316,0.3432,0.8571
0.2737,0.9145,0.3362,0.9286
0.2742,0.8718,0.3917,0.8571
0.2671,0.9487,0.3139,0.9286
0.2632,0.8889,0.2979,0.8571
0.2665,0.906,0.3213,0.8571
0.2428,0.906,0.3735,0.8929
0.2595,0.9145,0.3137,0.8929
0.264,0.9231,0.3058,0.8571
0.2726,0.906,0.3765,0.8929
0.2413,0.8889,0.3288,0.8929
0.2545,0.8803,0.3221,0.9286
0.2335,0.9145,0.2937,0.9286
0.224,0.9231,0.3186,0.8571
0.1986,0.9316,0.3142,0.9286
0.2372,0.9231,0.3502,0.9286
0.2005,0.9487,0.301,0.9286
0.2188,0.9316,0.2937,0.9286
0.2264,0.9402,0.3022,0.9286
0.2221,0.9487,0.2935,0.9286
0.2099,0.9402,0.3018,0.9643
0.2273,0.9402,0.3157,0.9286
0.2357,0.9145,0.2905,0.8929
0.2447,0.906,0.2629,0.9286
0.3057,0.8376,0.2974,0.8929
0.2049,0.9573,0.3392,0.8929
0.2459,0.8803,0.3134,0.9286
0.2323,0.9487,0.4178,0.8571
0.2228,0.906,0.3165,0.8929
0.1888,0.9402,0.3253,0.9286
0.1996,0.9316,0.2978,0.8929
0.2023,0.9231,0.264,0.9286
0.2212,0.8974,0.2495,0.9286
0.2079,0.9487,0.249,0.9286
0.2225,0.906,0.2809,0.8929
0.2032,0.9487,0.2513,0.9286
0.2014,0.9145,0.2777,0.8929
0.1905,0.9402,0.2715,0.9286
0.2255,0.9316,0.3104,0.8929
0.2443,0.906,0.3662,0.8929
0.1903,0.9487,0.2932,0.8929
0.2097,0.9231,0.2568,0.9286
0.2,0.9402,0.2596,0.8929
0.216778947,0.922626316,0.296710526,0.906047368
