trainLoss,Acc,valLoss,Acc
0.6658,0.5641,0.651,0.6786
0.656,0.6325,0.6516,0.6786
0.6373,0.6581,0.6525,0.6786
0.6414,0.6752,0.6507,0.6786
0.6207,0.7009,0.64,0.6786
0.6146,0.6581,0.6279,0.6786
0.6339,0.6496,0.6228,0.6786
0.5978,0.6752,0.6132,0.6786
0.5986,0.7009,0.6011,0.6786
0.6124,0.6752,0.592,0.6786
0.5838,0.6838,0.588,0.6786
0.5955,0.7009,0.58,0.6786
0.5988,0.6923,0.5769,0.6786
0.6061,0.6752,0.5683,0.6786
0.5791,0.7009,0.571,0.6786
0.5649,0.6838,0.5729,0.6786
0.584,0.6923,0.5679,0.6786
0.5783,0.6923,0.5524,0.6786
0.5558,0.7094,0.5425,0.6786
0.57,0.6838,0.545,0.6786
0.5505,0.7094,0.5454,0.6786
0.5621,0.7009,0.5416,0.6786
0.5688,0.7094,0.5311,0.6786
0.548,0.7265,0.528,0.6786
0.5484,0.7179,0.5258,0.6786
0.5382,0.7179,0.5202,0.6786
0.5391,0.7436,0.5204,0.6786
0.5373,0.7179,0.5186,0.6786
0.5639,0.7179,0.5217,0.6786
0.5136,0.7692,0.5158,0.7143
0.5346,0.7265,0.5044,0.6786
0.5197,0.735,0.4965,0.6786
0.5204,0.7607,0.4853,0.75
0.5229,0.735,0.4788,0.7143
0.4929,0.7521,0.4828,0.7857
0.54,0.7521,0.4785,0.75
0.5319,0.7521,0.4792,0.75
0.517,0.7607,0.4818,0.75
0.4979,0.7778,0.4781,0.75
0.5026,0.7692,0.4628,0.7857
0.4965,0.7692,0.4592,0.7857
0.5298,0.735,0.4607,0.7857
0.4986,0.812,0.4581,0.7857
0.4878,0.812,0.4573,0.7857
0.5034,0.7778,0.4577,0.7857
0.4603,0.8291,0.4537,0.7857
0.5,0.8034,0.4567,0.7857
0.481,0.7863,0.4522,0.7857
0.4784,0.8205,0.4508,0.7857
0.4678,0.812,0.4498,0.7857
0.475,0.812,0.4493,0.7857
0.4647,0.8291,0.4446,0.7857
0.4665,0.8034,0.4341,0.7857
0.4744,0.7949,0.432,0.7857
0.4602,0.8205,0.4251,0.8214
0.4722,0.812,0.4222,0.8214
0.4676,0.7863,0.4212,0.8214
0.4839,0.7949,0.4184,0.7857
0.462,0.8205,0.4226,0.7857
0.4435,0.8291,0.4103,0.7857
0.4566,0.8291,0.414,0.7857
0.4461,0.8291,0.4145,0.7857
0.444,0.8462,0.4096,0.7857
0.4605,0.812,0.4102,0.7857
0.4173,0.8376,0.4054,0.7857
0.4294,0.8376,0.401,0.8214
0.4323,0.8547,0.3954,0.7857
0.4452,0.8376,0.3911,0.8214
0.429,0.8376,0.393,0.7857
0.4441,0.812,0.3955,0.7857
0.4276,0.8291,0.3854,0.8214
0.437,0.812,0.3846,0.8214
0.4356,0.812,0.3791,0.8214
0.4052,0.8547,0.391,0.8214
0.4197,0.8205,0.3825,0.8214
0.4312,0.8803,0.3777,0.8214
0.4,0.8718,0.3776,0.8214
0.404,0.8547,0.3777,0.8214
0.4239,0.8291,0.3695,0.8571
0.4177,0.8547,0.3666,0.8571
0.4101,0.8291,0.3706,0.8214
0.4238,0.8376,0.3682,0.8214
0.3939,0.8462,0.3638,0.8571
0.373,0.906,0.3658,0.8214
0.3875,0.8462,0.3634,0.8214
0.3924,0.8803,0.3561,0.8214
0.3887,0.8547,0.3539,0.8214
0.3833,0.8718,0.3451,0.8214
0.4072,0.8547,0.3442,0.8929
0.3635,0.8803,0.3452,0.8929
0.3881,0.8718,0.3472,0.9286
0.3926,0.812,0.349,0.8929
0.3859,0.8376,0.3462,0.8571
0.4177,0.8034,0.3425,0.8214
0.354,0.8889,0.34,0.8929
0.365,0.8376,0.3361,0.8214
0.3613,0.8803,0.3364,0.8571
0.3548,0.8632,0.3311,0.8929
0.3731,0.8462,0.3258,0.8929
0.3579,0.8718,0.3277,0.8929
0.3823,0.8574,0.346721053,0.859021053
