trainLoss,Acc,valLoss,Acc
0.7862,0.4188,0.795,0.2143
0.6738,0.5812,0.7438,0.3571
0.6348,0.6154,0.7079,0.5357
0.5827,0.7094,0.6487,0.6786
0.5534,0.735,0.6183,0.7143
0.5612,0.7607,0.6004,0.7143
0.5335,0.7265,0.6097,0.7143
0.5381,0.7179,0.5933,0.7143
0.5386,0.7521,0.5508,0.7143
0.4912,0.7949,0.4995,0.75
0.4815,0.8205,0.4614,0.75
0.4806,0.7949,0.4578,0.7143
0.4761,0.7949,0.4342,0.75
0.4842,0.8034,0.4214,0.7857
0.4653,0.812,0.3887,0.8214
0.4319,0.8462,0.3805,0.7857
0.4148,0.8291,0.3584,0.8214
0.3781,0.8718,0.3518,0.8571
0.3966,0.8547,0.3333,0.8929
0.4096,0.8632,0.3421,0.8929
0.4088,0.8632,0.3272,0.9286
0.3692,0.8718,0.3255,0.9286
0.3613,0.8889,0.2936,0.9286
0.3528,0.8803,0.2992,0.9286
0.3779,0.8547,0.2955,0.9286
0.3508,0.8889,0.2859,0.8929
0.3401,0.8632,0.2821,0.9286
0.3323,0.8974,0.2733,0.9286
0.3107,0.8803,0.2698,0.9286
0.3253,0.8889,0.2617,0.9643
0.3012,0.9145,0.2681,0.9643
0.3339,0.8462,0.262,1
0.3146,0.8718,0.2596,0.9643
0.3026,0.8803,0.2404,0.9643
0.3156,0.8803,0.2471,0.9286
0.2884,0.8889,0.2332,0.9643
0.2909,0.8974,0.2316,0.9643
0.3172,0.8803,0.2303,0.9286
0.257,0.9487,0.2492,0.9286
0.2422,0.9402,0.2391,0.9286
0.2941,0.8547,0.2294,0.9286
0.2687,0.9145,0.2372,0.9286
0.2871,0.8974,0.2262,0.9643
0.2795,0.8889,0.2341,0.9286
0.2858,0.8974,0.2314,0.9286
0.2577,0.906,0.2263,0.8929
0.2791,0.8974,0.2344,0.9643
0.2585,0.8974,0.2149,0.9286
0.2697,0.9231,0.2169,0.9286
0.2308,0.8974,0.2243,0.9643
0.2476,0.8803,0.2123,0.9643
0.24,0.906,0.2073,0.9286
0.2474,0.9145,0.202,0.9286
0.2464,0.8974,0.2146,0.9286
0.2534,0.906,0.2116,0.9643
0.2471,0.906,0.2173,0.9643
0.2162,0.8974,0.2236,0.9643
0.2458,0.8974,0.2134,0.9286
0.2081,0.9231,0.1994,0.9286
0.2122,0.9231,0.2099,0.9643
0.234,0.9231,0.2101,0.9286
0.2213,0.9402,0.2285,0.9286
0.2049,0.9145,0.228,0.9286
0.2393,0.8974,0.2186,0.9286
0.1994,0.9231,0.2273,0.8929
0.1961,0.9487,0.205,0.9286
0.2247,0.9145,0.2091,0.9286
0.216,0.9231,0.206,0.9286
0.2019,0.906,0.2012,0.9286
0.1972,0.9231,0.1997,0.9286
0.2061,0.906,0.1997,0.9286
0.2038,0.9316,0.1811,0.9286
0.1883,0.9231,0.2002,0.9643
0.2325,0.8974,0.2102,0.9286
0.2266,0.8974,0.2198,0.8929
0.1954,0.8974,0.2128,0.8929
0.1777,0.9316,0.196,0.9286
0.1698,0.9573,0.1833,0.9643
0.1682,0.9487,0.2235,0.8571
0.1964,0.9145,0.2175,0.9286
0.2194,0.9231,0.2227,0.9286
0.1572,0.9573,0.217,0.8929
0.2354,0.906,0.2314,0.9286
0.1741,0.9487,0.2106,0.8571
0.2741,0.8632,0.2011,0.9286
0.1795,0.9487,0.2141,0.8929
0.1742,0.9145,0.203,0.9286
0.1716,0.9316,0.1983,0.8929
0.2118,0.906,0.2279,0.8929
0.1518,0.9487,0.2197,0.8929
0.2323,0.8803,0.2121,0.8929
0.1727,0.9573,0.2119,0.8929
0.1567,0.9487,0.2636,0.8929
0.2161,0.906,0.2309,0.8571
0.1413,0.9658,0.2229,0.8929
0.1641,0.9316,0.2415,0.9286
0.1625,0.9402,0.233,0.8929
0.156,0.9573,0.2164,0.8929
0.158,0.9402,0.2354,0.9286
0.1575,0.9573,0.2175,0.8929
0.181415789,0.932073684,0.221489474,0.898526316
