trainLoss,Acc,valLoss,Acc
0.6879,0.6154,0.6265,0.6786
0.6869,0.6154,0.6174,0.6786
0.6415,0.6239,0.6169,0.6786
0.6223,0.6752,0.5935,0.6786
0.6517,0.6581,0.5872,0.7143
0.6337,0.6496,0.5819,0.6786
0.5893,0.7094,0.5615,0.7143
0.6087,0.6752,0.5549,0.6786
0.5566,0.7265,0.5432,0.7143
0.6125,0.6838,0.5482,0.8214
0.5375,0.7436,0.5256,0.7857
0.5201,0.7436,0.5185,0.8214
0.5565,0.735,0.5105,0.8214
0.5213,0.7949,0.4898,0.8214
0.5472,0.735,0.4825,0.8214
0.5034,0.7607,0.4923,0.8571
0.5155,0.7863,0.4583,0.8214
0.505,0.7778,0.4442,0.8214
0.5032,0.7949,0.4315,0.8214
0.4512,0.7949,0.419,0.8571
0.4648,0.8034,0.4037,0.8571
0.4435,0.8205,0.3898,0.8571
0.4168,0.8205,0.3738,0.8929
0.4402,0.812,0.4217,0.8214
0.4249,0.812,0.3542,0.8571
0.4173,0.7949,0.344,0.8571
0.3853,0.8462,0.3362,0.8214
0.4052,0.8291,0.3195,0.8929
0.3773,0.8205,0.3114,0.8929
0.3422,0.8376,0.2975,0.8571
0.3356,0.8803,0.2891,0.9643
0.3551,0.8376,0.2817,0.9643
0.3365,0.8547,0.2754,0.8929
0.3052,0.8718,0.3143,0.8214
0.3624,0.8547,0.2566,0.8929
0.3198,0.8632,0.2528,0.9286
0.3375,0.8547,0.248,0.9286
0.3032,0.8803,0.2287,0.9286
0.3105,0.8462,0.229,0.9286
0.3261,0.8718,0.239,0.8929
0.2998,0.8291,0.3213,0.8214
0.3244,0.8376,0.216,0.9286
0.2728,0.8803,0.2078,0.9643
0.2783,0.8889,0.2041,0.9286
0.256,0.8803,0.377,0.7857
0.2808,0.8889,0.2048,0.9286
0.2961,0.8803,0.2692,0.8214
0.2733,0.8803,0.1878,0.9643
0.2602,0.8889,0.285,0.8214
0.2956,0.906,0.1924,0.9643
0.2762,0.906,0.1803,0.9286
0.293,0.8974,0.2142,0.9643
0.271,0.8974,0.1922,0.9643
0.269,0.8889,0.1866,0.9286
0.2856,0.8803,0.3354,0.8214
0.3108,0.8547,0.1985,0.9643
0.2297,0.8974,0.2209,0.9286
0.3118,0.8547,0.23,0.9286
0.2459,0.8889,0.1797,0.9643
0.2359,0.8974,0.2824,0.8571
0.2465,0.8803,0.2053,0.9643
0.2183,0.9145,0.198,0.9643
0.2923,0.8803,0.192,0.9643
0.1975,0.9145,0.1592,0.9286
0.3045,0.8632,0.159,0.9286
0.1903,0.9145,0.1713,0.9643
0.235,0.9231,0.1811,0.9643
0.2012,0.906,0.1708,0.9643
0.2845,0.8462,0.5962,0.7143
0.352,0.8547,0.1669,0.9286
0.1879,0.9316,0.1958,0.9643
0.1734,0.9402,0.1544,0.9286
0.2132,0.9316,0.187,0.9643
0.1417,0.9573,0.1517,0.9286
0.2613,0.8889,0.1545,0.9286
0.2737,0.8889,0.1858,0.9643
0.1806,0.9231,0.1858,0.9643
0.2234,0.9145,0.187,0.9643
0.2038,0.9145,0.2629,0.9286
0.2137,0.9231,0.1594,0.9286
0.1793,0.906,0.294,0.8929
0.1507,0.9487,0.1474,0.9286
0.1821,0.906,0.1702,0.9643
0.1967,0.9231,0.4637,0.75
0.2245,0.8718,0.2158,0.9286
0.2381,0.8889,0.1517,0.9643
0.1548,0.9231,0.1368,0.9286
0.1496,0.9316,0.3025,0.8929
0.2339,0.8803,0.205,0.9643
0.179,0.9145,0.1485,0.9643
0.1712,0.9231,0.1583,0.9643
0.1499,0.9231,0.1518,0.9643
0.1609,0.9316,0.2148,0.9643
0.1604,0.9145,0.4063,0.7857
0.2132,0.906,0.1589,0.9643
0.1826,0.9487,0.1434,0.9286
0.1916,0.8974,0.2595,0.9286
0.3222,0.8547,0.148,0.9286
0.1795,0.9231,0.1718,0.9286
0.155,0.9402,0.1944,0.9643
0.189257895,0.913178947,0.207831579,0.926710526
