trainLoss,Acc,valLoss,Acc
0.6268,0.6838,0.58,0.6786
0.538,0.7521,0.5671,0.6786
0.5414,0.735,0.5387,0.7143
0.5924,0.7094,0.5196,0.75
0.5124,0.7778,0.4984,0.75
0.5201,0.7692,0.4814,0.75
0.4954,0.7949,0.4666,0.7857
0.504,0.7778,0.4533,0.7857
0.4715,0.7949,0.4647,0.7857
0.4989,0.7949,0.4546,0.7857
0.4739,0.7949,0.4642,0.75
0.471,0.7949,0.4679,0.75
0.4791,0.812,0.4953,0.7143
0.4329,0.8376,0.4773,0.75
0.4466,0.7778,0.4437,0.75
0.463,0.7607,0.4188,0.7857
0.4091,0.8462,0.4002,0.7857
0.4248,0.8205,0.4174,0.8214
0.3973,0.8632,0.4536,0.7143
0.4137,0.8291,0.3928,0.7857
0.3974,0.8632,0.3887,0.75
0.3996,0.8376,0.3619,0.8214
0.3667,0.8803,0.3563,0.8571
0.382,0.8462,0.3558,0.8571
0.3484,0.8547,0.3418,0.8214
0.3983,0.7863,0.343,0.8214
0.3946,0.8547,0.3516,0.7857
0.3806,0.8462,0.371,0.7857
0.3245,0.8632,0.3293,0.8214
0.345,0.8803,0.314,0.8214
0.3566,0.8291,0.3129,0.8929
0.2996,0.8974,0.3,0.9286
0.2986,0.8803,0.3073,0.8571
0.316,0.8718,0.2943,0.8929
0.3325,0.8718,0.288,0.8929
0.3077,0.8889,0.2877,0.8571
0.3366,0.8718,0.2875,0.8571
0.3806,0.8205,0.2789,0.9286
0.3107,0.8718,0.291,0.8571
0.3243,0.8632,0.2769,0.9286
0.273,0.906,0.2769,0.8929
0.2813,0.9145,0.2772,0.8929
0.2784,0.9145,0.2707,0.9286
0.305,0.8632,0.2655,0.9286
0.2751,0.8889,0.2686,0.8929
0.3293,0.8462,0.2629,0.9286
0.2461,0.906,0.2771,0.8929
0.2398,0.906,0.3405,0.7857
0.2837,0.9145,0.3102,0.8214
0.3024,0.8718,0.2844,0.8571
0.259,0.9231,0.2983,0.8571
0.2875,0.8974,0.2708,0.8571
0.2725,0.906,0.2869,0.8571
0.2689,0.906,0.2757,0.8571
0.2415,0.8889,0.2734,0.8214
0.2331,0.9231,0.2818,0.8571
0.2361,0.9316,0.2661,0.9286
0.2631,0.9145,0.2685,0.8929
0.2344,0.9145,0.2746,0.8571
0.2271,0.9316,0.2463,0.9286
0.2148,0.9145,0.2415,0.9286
0.2099,0.9231,0.2494,0.8929
0.2072,0.9316,0.2486,0.8929
0.2079,0.9316,0.2554,0.9286
0.2122,0.906,0.2376,0.8929
0.262,0.8889,0.2408,0.8929
0.2394,0.906,0.2322,0.9286
0.2037,0.9316,0.2258,0.9286
0.186,0.9573,0.2481,0.9286
0.2349,0.8974,0.2445,0.9286
0.1873,0.9487,0.2446,0.8929
0.1734,0.9316,0.2567,0.8929
0.1867,0.9402,0.2273,0.9286
0.1999,0.906,0.2215,0.9286
0.1772,0.9402,0.2321,0.9286
0.1951,0.9487,0.2226,0.9286
0.1781,0.9402,0.2152,0.9286
0.1679,0.9487,0.2159,0.8929
0.1728,0.9487,0.2374,0.9286
0.1837,0.9402,0.238,0.9286
0.1693,0.9487,0.2452,0.8929
0.1623,0.9402,0.2335,0.9286
0.1906,0.9316,0.2421,0.8571
0.163,0.9402,0.2092,0.9286
0.1745,0.9487,0.2347,0.8929
0.1697,0.9658,0.1988,0.9286
0.1402,0.9744,0.2103,0.9286
0.1577,0.9573,0.2051,0.9643
0.1394,0.9744,0.2255,0.9286
0.1626,0.9316,0.2083,0.9286
0.1703,0.9402,0.221,0.8929
0.1427,0.9658,0.2185,0.8929
0.1471,0.9658,0.2255,0.8929
0.1586,0.9573,0.2173,0.8929
0.1376,0.9658,0.2225,0.8929
0.1473,0.9573,0.2431,0.8929
0.1402,0.9573,0.2425,0.8929
0.1336,0.9658,0.2408,0.8929
0.1527,0.9573,0.2308,0.9286
0.142,0.9573,0.2363,0.8929
0.154321053,0.955478947,0.224515789,0.907926316
