trainLoss,Acc,valLoss,Acc
0.6755,0.6239,0.6244,0.6786
0.6442,0.6581,0.6251,0.6786
0.6227,0.6496,0.6411,0.6786
0.6174,0.6752,0.636,0.6786
0.6024,0.6752,0.6307,0.6786
0.6167,0.6667,0.5839,0.6786
0.5741,0.6838,0.5756,0.6786
0.5607,0.6923,0.587,0.6786
0.5524,0.7094,0.5882,0.6786
0.5409,0.7179,0.5798,0.6786
0.5471,0.7607,0.576,0.6786
0.5346,0.7094,0.557,0.6786
0.513,0.7179,0.5627,0.6786
0.505,0.7436,0.5344,0.6786
0.5179,0.7521,0.5166,0.6786
0.4836,0.7692,0.4789,0.6786
0.4648,0.7949,0.4693,0.6786
0.4898,0.7863,0.437,0.7143
0.4565,0.7863,0.4544,0.75
0.4573,0.7778,0.4337,0.6786
0.4467,0.8205,0.424,0.6786
0.4481,0.812,0.426,0.7857
0.4291,0.8376,0.3886,0.7857
0.4074,0.8376,0.4069,0.7143
0.4173,0.8376,0.4012,0.7857
0.4059,0.8632,0.3885,0.7857
0.3878,0.8632,0.3669,0.9286
0.3774,0.8632,0.3651,0.9286
0.3905,0.8547,0.3684,0.8214
0.354,0.8803,0.3244,0.9643
0.3496,0.8632,0.339,0.8214
0.3491,0.8803,0.3278,0.8929
0.3698,0.8718,0.3199,0.8929
0.385,0.8291,0.3806,0.9286
0.3494,0.8718,0.3757,0.8929
0.3374,0.906,0.2992,0.9643
0.3688,0.8547,0.2964,0.9643
0.321,0.8974,0.2877,0.8929
0.3399,0.8718,0.3264,0.9286
0.3292,0.8632,0.2905,0.9286
0.3131,0.906,0.3301,0.8929
0.2864,0.9145,0.2802,0.9286
0.2964,0.906,0.2918,0.8929
0.2828,0.906,0.2504,0.9643
0.2841,0.906,0.2519,0.9643
0.3141,0.8803,0.2545,0.9643
0.2836,0.906,0.2457,0.9286
0.2811,0.8974,0.2478,0.9286
0.2891,0.8889,0.2412,0.9643
0.2732,0.9145,0.2374,0.9286
0.2433,0.9316,0.2469,0.9286
0.2449,0.8974,0.2595,0.8929
0.2495,0.906,0.2249,0.9286
0.2476,0.9145,0.2315,0.9286
0.2675,0.9316,0.2344,0.9286
0.2403,0.9231,0.2276,0.9286
0.2252,0.9316,0.2866,0.9286
0.2119,0.9573,0.2164,0.9286
0.2393,0.9231,0.2217,0.9286
0.2376,0.9145,0.2025,0.9286
0.2078,0.9487,0.3249,0.9286
0.227,0.9145,0.2107,0.9643
0.2276,0.9231,0.2273,0.8929
0.1941,0.9402,0.1915,0.9643
0.2285,0.8974,0.3297,0.9286
0.2013,0.9658,0.2106,0.9286
0.2008,0.9316,0.1984,0.9286
0.1851,0.9316,0.2187,0.9286
0.1726,0.9658,0.2181,0.8929
0.1789,0.9573,0.2097,0.8929
0.1701,0.9658,0.1897,0.9286
0.1684,0.9487,0.1911,0.9643
0.1667,0.9487,0.1715,0.9286
0.1819,0.9573,0.1768,0.9286
0.1589,0.9658,0.1905,0.9286
0.1727,0.9658,0.1895,0.9643
0.1927,0.906,0.1856,0.9643
0.1695,0.9573,0.1726,0.9643
0.1628,0.9402,0.1716,0.9643
0.1673,0.9487,0.1704,0.9643
0.1609,0.9487,0.174,0.9286
0.1423,0.9744,0.206,0.9286
0.1284,0.9915,0.151,0.9286
0.1864,0.9402,0.1513,0.9286
0.1336,0.9744,0.1849,0.8929
0.1377,0.9829,0.281,0.9286
0.1421,0.9829,0.1529,0.9286
0.1267,0.9573,0.1658,0.9286
0.1688,0.9573,0.1673,0.8929
0.1213,0.9744,0.1623,0.8929
0.1286,0.9829,0.1554,0.9643
0.1179,0.9744,0.1696,0.9643
0.1243,0.9658,0.17,0.9286
0.1469,0.9573,0.1816,0.9286
0.14,0.9487,0.1656,0.9286
0.1484,0.9744,0.1821,0.8929
0.1088,0.9744,0.1506,0.9286
0.1167,0.9658,0.1747,0.9286
0.1002,0.9829,0.1918,0.9286
0.1169,0.9915,0.1492,0.9286
0.133473684,0.971231579,0.174373684,0.924842105
