trainLoss,trainAcc,valLoss,valAcc
0.6582,0.6581,0.6463,0.7143
0.6406,0.6667,0.6234,0.6786
0.6378,0.6667,0.6373,0.6786
0.6247,0.6752,0.6086,0.6786
0.6021,0.6667,0.5963,0.6786
0.6118,0.6667,0.6124,0.6786
0.6028,0.6667,0.5933,0.6786
0.599,0.6667,0.604,0.6786
0.6168,0.6667,0.5848,0.6786
0.5913,0.6667,0.609,0.6786
0.5956,0.6667,0.612,0.6786
0.5926,0.6667,0.6188,0.6786
0.5839,0.6667,0.5954,0.6786
0.5775,0.6838,0.5685,0.6786
0.5797,0.6752,0.5348,0.6786
0.5674,0.6667,0.5229,0.6786
0.5588,0.6923,0.5315,0.6786
0.5617,0.6838,0.5231,0.6786
0.5478,0.6752,0.5058,0.6786
0.5395,0.7094,0.4967,0.7143
0.5325,0.7009,0.5221,0.6786
0.5386,0.7265,0.5511,0.75
0.5017,0.735,0.508,0.75
0.525,0.7094,0.557,0.75
0.5143,0.7179,0.5331,0.75
0.5051,0.7607,0.5377,0.75
0.5012,0.7521,0.5213,0.6786
0.5115,0.7436,0.515,0.7143
0.5077,0.7436,0.5427,0.7143
0.4976,0.7692,0.4992,0.75
0.4902,0.7863,0.5139,0.75
0.4724,0.7863,0.5007,0.75
0.4734,0.7692,0.4999,0.7143
0.488,0.7949,0.4388,0.75
0.4644,0.7863,0.4329,0.75
0.4623,0.812,0.4478,0.75
0.4759,0.7607,0.4738,0.8214
0.4529,0.7949,0.4362,0.8214
0.4469,0.812,0.4307,0.8214
0.4529,0.8205,0.4176,0.7857
0.4361,0.8291,0.4313,0.8214
0.4331,0.8376,0.4087,0.7857
0.4275,0.812,0.4118,0.8571
0.4215,0.8462,0.5555,0.75
0.4115,0.8376,0.4562,0.8571
0.3889,0.8632,0.4165,0.7857
0.4025,0.8462,0.4785,0.9286
0.3849,0.8889,0.4179,0.8214
0.4032,0.8547,0.434,1
0.3791,0.8718,0.3802,0.75
0.3894,0.8462,0.3713,0.7857
0.3712,0.8632,0.3935,0.75
0.3612,0.8718,0.364,0.7857
0.3521,0.8974,0.3997,0.9643
0.3711,0.8632,0.3672,0.8571
0.3697,0.8632,0.4122,0.9286
0.3359,0.8889,0.3907,0.9643
0.3554,0.8803,0.3452,0.9643
0.3389,0.8974,0.3734,0.8929
0.3287,0.9145,0.3682,0.9286
0.3294,0.906,0.3493,0.8571
0.3394,0.8889,0.3557,0.9286
0.3232,0.906,0.3586,0.7857
0.3274,0.8974,0.3084,0.8929
0.3136,0.8889,0.3792,0.8571
0.3034,0.8803,0.3608,0.9643
0.3135,0.9145,0.3031,0.9643
0.3171,0.8803,0.3468,0.9286
0.2851,0.9231,0.3167,0.8571
0.3182,0.8889,0.3997,0.8929
0.2725,0.9316,0.3646,0.8214
0.2973,0.906,0.3822,0.8571
0.3437,0.8718,0.3047,0.9286
0.2849,0.8889,0.3355,0.9286
0.2977,0.906,0.3495,0.9286
0.2797,0.8974,0.3459,0.9286
0.319,0.8974,0.3,0.8929
0.2658,0.9231,0.2862,0.8571
0.284,0.8974,0.2666,0.9286
0.2521,0.9231,0.2741,0.8929
0.2572,0.9487,0.2664,0.9286
0.2567,0.9316,0.2891,0.9286
0.2668,0.8718,0.283,0.9286
0.2665,0.9231,0.2608,0.8571
0.2358,0.9316,0.2816,0.9286
0.222,0.9402,0.3166,0.9286
0.2497,0.8974,0.2667,0.8929
0.2289,0.906,0.2561,0.8571
0.2516,0.9145,0.2823,0.9643
0.2709,0.9231,0.3604,0.8571
0.2033,0.9402,0.2457,0.9643
0.2325,0.9145,0.2996,0.9286
0.2023,0.9573,0.295,0.9643
0.2173,0.9402,0.3006,0.9286
0.2321,0.9231,0.2785,0.9286
0.1962,0.9402,0.2575,0.9286
0.2184,0.9402,0.2528,0.8571
0.21,0.9316,0.2371,0.9286
0.189,0.9573,0.2499,0.9286
0.1796,0.9487,0.3812,0.8571
0.227873684,0.928031579,0.283921053,0.913542105
